text,text_clean,polarity,label
Pebble Watch software is now 100% open source(ericmigi.com),Pebble Watch software is now 100 open sourceericmigi.com,0.0,neutral
Unpowered SSDs slowly lose data(xda-developers.com),Unpowered SSDs slowly lose dataxdadevelopers.com,-0.30000000000000004,negative
Claude Advanced Tool Use(anthropic.com),Claude Advanced Tool Useanthropic.com,0.4,positive
Cool-retro-term: terminal emulator which mimics look and feel of CRTs(github.com/swordfish90),Coolretroterm terminal emulator which mimics look and feel of CRTsgithub.comswordfish90,0.0,neutral
Show HN: I built an interactive HN Simulator(ysimulator.run),Show HN I built an interactive HN Simulatorysimulator.run,0.0,neutral
Claude Opus 4.5(anthropic.com),Claude Opus 4.5anthropic.com,0.0,neutral
Build a Compiler in Five Projects(kmicinski.com),Build a Compiler in Five Projectskmicinski.com,0.0,neutral
Three Years from GPT-3 to Gemini 3(oneusefulthing.org),Three Years from GPT3 to Gemini 3oneusefulthing.org,0.0,neutral
Random lasers from peanut kernel doped with birch leaf–derived carbon dots(degruyterbrill.com),Random lasers from peanut kernel doped with birch leafderived carbon dotsdegruyterbrill.com,-0.5,negative
Show HN: OCR Arena – A playground for OCR models(ocrarena.ai),Show HN OCR Arena A playground for OCR modelsocrarena.ai,0.0,neutral
Moving from OpenBSD to FreeBSD for firewalls(utcc.utoronto.ca),Moving from OpenBSD to FreeBSD for firewallsutcc.utoronto.ca,0.0,neutral
What OpenAI did when ChatGPT users lost touch with reality(nytimes.com),What OpenAI did when ChatGPT users lost touch with realitynytimes.com,0.0,neutral
The Bitter Lesson of LLM Extensions(sawyerhood.com),The Bitter Lesson of LLM Extensionssawyerhood.com,-0.1,negative
Show HN: Hypercamera – a browser-based 4D camera simulator(dugas.ch),Show HN Hypercamera a browserbased 4D camera simulatordugas.ch,0.0,neutral
Google's new 'Aluminium OS' project brings Android to PC(androidauthority.com),Googles new Aluminium OS project brings Android to PCandroidauthority.com,0.13636363636363635,positive
Chrome Jpegxl Issue Reopened(chromium.org),Chrome Jpegxl Issue Reopenedchromium.org,0.0,neutral
Shai-Hulud Returns: Over 300 NPM Packages Infected(helixguard.ai),ShaiHulud Returns Over 300 NPM Packages Infectedhelixguard.ai,0.0,neutral
PS5 now costs less than 64GB of DDR5 memory. RAM jumps to $600 due to shortage(tomshardware.com),PS5 now costs less than 64GB of DDR5 memory. RAM jumps to 600 due to shortagetomshardware.com,-0.14583333333333331,negative
How sea turtles learn locations using Earth’s magnetic field: research(unc.edu),How sea turtles learn locations using Earths magnetic field researchunc.edu,0.0,neutral
Mind-reading devices can now predict preconscious thoughts(nature.com),Mindreading devices can now predict preconscious thoughtsnature.com,0.0,neutral
Fifty Shades of OOP(lesleylai.info),Fifty Shades of OOPlesleylai.info,0.0,neutral
A fast EDN (Extensible Data Notation) reader written in C11 with SIMD boost(github.com/dotfox),A fast EDN Extensible Data Notation reader written in C11 with SIMD boostgithub.comdotfox,0.2,positive
Using Antigravity for Statistical Physics in JavaScript(christopherkrapu.com),Using Antigravity for Statistical Physics in JavaScriptchristopherkrapu.com,0.0,neutral
Building the largest known Kubernetes cluster(cloud.google.com),Building the largest known Kubernetes clustercloud.google.com,0.0,neutral
"Bytes before FLOPS: your algorithm is (mostly) fine, your data isn't(bitsdraumar.is)","Bytes before FLOPS your algorithm is mostly fine, your data isntbitsdraumar.is",0.4166666666666667,positive
Inside Rust's std and parking_lot mutexes – who wins?(cuongle.dev),Inside Rusts std and parkinglot mutexes who winscuongle.dev,0.0,neutral
You can see a working Quantum Computer in IBM's London office(ianvisits.co.uk),You can see a working Quantum Computer in IBMs London officeianvisits.co.uk,0.0,neutral
"Corvus Robotics (YC S18): Hiring Head of Mfg/Ops, Next Door to YC Mountain View","Corvus Robotics YC S18 Hiring Head of MfgOps, Next Door to YC Mountain View",0.0,neutral
"TSMC Arizona outage saw fab halt, Apple wafers scrapped(culpium.com)","TSMC Arizona outage saw fab halt, Apple wafers scrappedculpium.com",0.0,neutral
The history of Indian science fiction(altermag.com),The history of Indian science fictionaltermag.com,0.0,neutral
