text,text_clean
Pebble Watch software is now 100% open source(ericmigi.com),Pebble Watch software is now 100 open sourceericmigi.com
Unpowered SSDs slowly lose data(xda-developers.com),Unpowered SSDs slowly lose dataxdadevelopers.com
Claude Advanced Tool Use(anthropic.com),Claude Advanced Tool Useanthropic.com
Cool-retro-term: terminal emulator which mimics look and feel of CRTs(github.com/swordfish90),Coolretroterm terminal emulator which mimics look and feel of CRTsgithub.comswordfish90
Show HN: I built an interactive HN Simulator(ysimulator.run),Show HN I built an interactive HN Simulatorysimulator.run
Claude Opus 4.5(anthropic.com),Claude Opus 4.5anthropic.com
Build a Compiler in Five Projects(kmicinski.com),Build a Compiler in Five Projectskmicinski.com
Three Years from GPT-3 to Gemini 3(oneusefulthing.org),Three Years from GPT3 to Gemini 3oneusefulthing.org
Random lasers from peanut kernel doped with birch leaf–derived carbon dots(degruyterbrill.com),Random lasers from peanut kernel doped with birch leafderived carbon dotsdegruyterbrill.com
Show HN: OCR Arena – A playground for OCR models(ocrarena.ai),Show HN OCR Arena A playground for OCR modelsocrarena.ai
Moving from OpenBSD to FreeBSD for firewalls(utcc.utoronto.ca),Moving from OpenBSD to FreeBSD for firewallsutcc.utoronto.ca
What OpenAI did when ChatGPT users lost touch with reality(nytimes.com),What OpenAI did when ChatGPT users lost touch with realitynytimes.com
The Bitter Lesson of LLM Extensions(sawyerhood.com),The Bitter Lesson of LLM Extensionssawyerhood.com
Show HN: Hypercamera – a browser-based 4D camera simulator(dugas.ch),Show HN Hypercamera a browserbased 4D camera simulatordugas.ch
Google's new 'Aluminium OS' project brings Android to PC(androidauthority.com),Googles new Aluminium OS project brings Android to PCandroidauthority.com
Chrome Jpegxl Issue Reopened(chromium.org),Chrome Jpegxl Issue Reopenedchromium.org
Shai-Hulud Returns: Over 300 NPM Packages Infected(helixguard.ai),ShaiHulud Returns Over 300 NPM Packages Infectedhelixguard.ai
PS5 now costs less than 64GB of DDR5 memory. RAM jumps to $600 due to shortage(tomshardware.com),PS5 now costs less than 64GB of DDR5 memory. RAM jumps to 600 due to shortagetomshardware.com
How sea turtles learn locations using Earth’s magnetic field: research(unc.edu),How sea turtles learn locations using Earths magnetic field researchunc.edu
Mind-reading devices can now predict preconscious thoughts(nature.com),Mindreading devices can now predict preconscious thoughtsnature.com
Fifty Shades of OOP(lesleylai.info),Fifty Shades of OOPlesleylai.info
A fast EDN (Extensible Data Notation) reader written in C11 with SIMD boost(github.com/dotfox),A fast EDN Extensible Data Notation reader written in C11 with SIMD boostgithub.comdotfox
Using Antigravity for Statistical Physics in JavaScript(christopherkrapu.com),Using Antigravity for Statistical Physics in JavaScriptchristopherkrapu.com
Building the largest known Kubernetes cluster(cloud.google.com),Building the largest known Kubernetes clustercloud.google.com
"Bytes before FLOPS: your algorithm is (mostly) fine, your data isn't(bitsdraumar.is)","Bytes before FLOPS your algorithm is mostly fine, your data isntbitsdraumar.is"
Inside Rust's std and parking_lot mutexes – who wins?(cuongle.dev),Inside Rusts std and parkinglot mutexes who winscuongle.dev
You can see a working Quantum Computer in IBM's London office(ianvisits.co.uk),You can see a working Quantum Computer in IBMs London officeianvisits.co.uk
"Corvus Robotics (YC S18): Hiring Head of Mfg/Ops, Next Door to YC Mountain View","Corvus Robotics YC S18 Hiring Head of MfgOps, Next Door to YC Mountain View"
"TSMC Arizona outage saw fab halt, Apple wafers scrapped(culpium.com)","TSMC Arizona outage saw fab halt, Apple wafers scrappedculpium.com"
The history of Indian science fiction(altermag.com),The history of Indian science fictionaltermag.com
